,human_development_index,weekly_hosp_admissions,tests_per_case,new_cases,total_deaths,new_vaccinations_smoothed_per_million,new_deaths_smoothed_per_million,population,total_vaccinations,total_cases,new_tests,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,extreme_poverty,positive_rate,total_boosters_per_hundred,handwashing_facilities,new_vaccinations_smoothed,new_cases_per_million,total_boosters,aged_70_older,new_vaccinations,hospital_beds_per_thousand,new_cases_smoothed_per_million,total_vaccinations_per_hundred,new_deaths_smoothed,new_tests_per_thousand,last_updated_date,new_tests_smoothed,people_vaccinated,people_fully_vaccinated,new_people_vaccinated_smoothed_per_hundred,diabetes_prevalence,total_tests,total_deaths_per_million,new_people_vaccinated_smoothed,continent,excess_mortality,excess_mortality_cumulative,cardiovasc_death_rate,total_cases_per_million,stringency_index,new_deaths,icu_patients,tests_units,gdp_per_capita,total_tests_per_thousand,aged_65_older,excess_mortality_cumulative_absolute,weekly_hosp_admissions_per_million,life_expectancy,new_cases_smoothed,new_deaths_per_million,female_smokers,hosp_patients,male_smokers,population_density,icu_patients_per_million,location,new_tests_smoothed_per_thousand,hosp_patients_per_million,excess_mortality_cumulative_per_million,weekly_icu_admissions,reproduction_rate,median_age,people_fully_vaccinated_per_hundred
KNA,0.779,,,0.0,46.0,,0.0,47681.0,,6607.0,,,,,,,,,0.0,,,,2.3,0.0,,0.0,,2024-08-04,,,,,12.84,,984.357,,North America,,,,141383.66,,0.0,,,24654.385,,,,,76.23,0.0,0.0,,,,212.865,,Saint Kitts and Nevis,,,,,,,
LCA,0.759,,,0.0,410.0,,0.0,179872.0,,30282.0,,,,,,,87.202,,0.0,,6.405,,1.3,0.0,,0.0,,2024-08-04,,,,,11.62,,2293.142,,North America,,,204.62,169368.1,,0.0,,,12951.839,,9.721,,,76.2,0.0,0.0,,,,293.187,,Saint Lucia,,,,,,34.9,
MAF,,,,0.0,46.0,,0.0,31816.0,,12324.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,1591.806,,North America,,,,426465.5,,0.0,,,,,,,,82.08,0.0,0.0,,,,590.533,,Saint Martin (French part),,,,,,,
SPM,,,,0.0,2.0,,0.0,5885.0,,3426.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,347.222,,North America,,,,594791.7,,0.0,,,,,,,,81.07,0.0,0.0,,,,,,Saint Pierre and Miquelon,,,,,,,
VCT,0.738,,,0.0,124.0,,0.0,103959.0,,9674.0,,,,,,,,,0.0,,4.832,,2.6,0.0,,0.0,,2024-08-04,,,,,11.62,,1214.948,,North America,,,252.675,94785.52,,0.0,,,10727.146,,7.724,,,72.53,0.0,0.0,,,,281.787,,Saint Vincent and the Grenadines,,,,,,31.8,
WSM,0.715,,,0.0,31.0,,0.0,222390.0,,17057.0,,,,,,,,,0.0,,3.564,,,0.0,,0.0,,2024-08-04,,,,,9.21,,144.006,,Oceania,,,348.977,79235.75,,0.0,,,6021.557,,5.606,,,73.32,0.0,0.0,16.7,,38.1,69.413,,Samoa,,,,,,22.0,
SMR,,,,0.0,126.0,,0.0,33690.0,,25292.0,,,,,,,,,0.0,,,,3.8,0.0,,0.0,,2024-08-04,,,,,5.64,,3693.606,,Europe,,,,741418.25,,0.0,,,56861.47,,,,,84.97,0.0,0.0,,,,556.667,,San Marino,,,,,,,
STP,0.625,,,0.0,80.0,,0.0,227393.0,,6771.0,,,,32.3,,,41.34,,0.0,,2.162,,2.9,0.0,,0.0,,2024-08-04,,,,,2.42,,353.493,,Africa,,,270.113,29918.74,,0.0,,,3052.714,,2.886,,,70.39,0.0,0.0,,,,212.841,,Sao Tome and Principe,,,,,,18.7,
SAU,0.854,,,0.0,9646.0,,0.0,36408824.0,,841469.0,,,,,,,,,0.0,,1.845,,2.7,0.0,,0.0,,2024-08-04,,,,,17.72,,299.795,,Asia,,,259.538,26152.596,,0.0,,,49045.411,,3.295,,,75.13,0.0,0.0,1.8,,25.4,15.322,,Saudi Arabia,,,,,,31.9,
SEN,0.512,,,0.0,1971.0,,0.0,17316452.0,,89485.0,,,,38.0,,,20.859,,0.0,,1.796,,,0.0,,0.0,,2024-08-04,,,,,2.42,,111.664,,Africa,,,241.219,5069.656,,0.0,,,2470.58,,3.008,,,67.94,0.0,0.0,0.4,,16.6,82.328,,Senegal,,,,,,18.7,
SRB,0.806,,,0.0,18057.0,,0.0,6871547.0,,2583470.0,,,,,,,97.719,,0.0,,,,5.609,0.0,,0.0,,2024-08-04,,,,,10.08,,2658.875,,Europe,,,439.415,380413.34,,0.0,,,14048.881,,17.366,,,76.0,0.0,0.0,37.7,,40.2,80.291,,Serbia,,,,,,41.2,
SYC,0.796,,,0.0,172.0,,0.0,107135.0,,51886.0,,,,1.1,,,,,0.0,,5.586,,3.6,0.0,,0.0,,2024-08-04,,,,,10.55,,1370.169,,Africa,,,242.648,413328.88,,0.0,,,26382.287,,8.606,,,73.4,0.0,0.0,7.1,,35.7,208.354,,Seychelles,,,,,,36.2,
SLE,0.452,,,0.0,125.0,,0.0,8605723.0,,7979.0,,,,52.2,,,19.275,,0.0,,1.285,,,0.0,,0.0,,2024-08-04,,,,,2.42,,15.102,,Africa,,,325.721,964.019,,0.0,,,1390.3,,2.538,,,54.7,0.0,0.0,8.8,,41.3,104.7,,Sierra Leone,,,,,,19.1,
SGP,0.938,,,0.0,2024.0,,0.0,5637022.0,,3006155.0,,,,,,,,,0.0,,7.049,,2.4,0.0,,0.0,,2024-08-04,,,,,10.99,,358.237,,Asia,,,92.243,532073.56,,0.0,,,85535.383,,12.922,,,83.62,0.0,0.0,5.2,,28.3,7915.731,,Singapore,,,,,,42.4,
SXM,,,,0.0,92.0,,0.0,44192.0,,11051.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,2182.008,,North America,,,,262101.84,,0.0,,,36327.232,,,,,78.95,0.0,0.0,,,,1209.088,,Sint Maarten (Dutch part),,,,,,,
SVK,0.86,,,61.0,21227.0,,0.026,5643455.0,,1878002.0,,,,0.7,,,,,11.145,,9.167,,5.82,1.592,,0.143,,2024-08-04,,,,,7.29,,3878.357,,Europe,,,287.959,343127.25,,1.0,,,30155.152,,15.07,,,77.54,8.714,0.183,23.1,,37.7,113.128,,Slovakia,,,,,,41.2,
SVN,0.917,,,148.0,10083.0,,0.27,2119843.0,,1356582.0,,,,,,,,,69.969,,12.93,,4.5,9.996,,0.571,,2024-08-04,,,,,7.25,,4766.858,,Europe,,,153.493,641340.2,,4.0,,,31400.84,,19.062,,,81.32,21.143,1.891,20.1,,25.0,102.619,,Slovenia,,,,,,44.5,
